Product Name,Type,Brand,Is Anti-Biotic,Description,Meta Description,Keywords,Manufacturer,Product Cold Chain,Tags,Base Unit Label,Average Rating,MRP
E-Cap 400,medicine,Drug International Ltd.,0,,"E-cap 400 mg Capsule (ই-ক্যাপ ৪০০ ক্যাপসুল) is used to treat or prevent vitamin E deficiency. Understand its uses, potential side effects, and how it contributes to your wellness.",,Drug International Ltd.,0,[],Capsule,0,7
Napa EXTRA,medicine,Beximco Pharmaceuticals Ltd.,0,,,,Beximco Pharmaceuticals Ltd.,0,[],Tablet,0,2.5
Maxpro,medicine,Renata Limited,0,,,,Renata Limited,0,['b2b'],Capsule,0,7
SMC Fruity Tasty Saline,food,SMC Enterprise Limited,0,"<h1><strong>SMC Fruity Tasty Saline</strong></h1>
<p class=""ql-align-justify"">In Bangladesh, the demand for oral saline is growing faster due to prolonged summer. Excessive sweating is one of the major reasons for dehydration. Most of the oral solutions available in the market are either healthy or tasty. The ""SMC Fruity""- orange flavored oral saline is an instant tasty and healthy solution for any dehydration caused by excessive sweating. With refreshing fruit flavor, it helps to recover the lost fluid from the body. A single sachet of SMC Fruity tasty saline contains 10gm powder which needs to be mixed and dissolved properly in 500 ml pure drinking water to prepare.</p>
<p class=""ql-align-justify"">SMC has been marketing various consumer products in the domestic market for the last 48 years and attained a widespread trust of Bangladeshi consumers in return. With SMC Fruity in its portfolio, SMC aims to deliver healthy and tasty food and beverages to consumers.</p>
<h2 class=""ql-align-justify"">SMC Fruity Tasty Saline (Orange Flavor) Product Description</h2>
<p class=""ql-align-justify"">&nbsp;</p>
<p>SMC Fruity Orange Flavor Tasty Saline is an oral solution that helps to recover lost fluids from the body caused by excessive sweating. It is a healthy and tasty solution that comes in a box of 20 sachets, with each sachet containing 10gm powder. The powder needs to be mixed and dissolved properly in 500 ml of pure drinking water to prepare. Staying hydrated is vital for overall health, but sometimes plain water can get a bit boring. &nbsp;SMC Fruity Orange Flavor Tasty Saline offers a delicious and convenient solution, especially for those who struggle to drink enough fluids.</p>
<p>&nbsp;</p>
<div id=""js--summary-description"" class=""specification-section__nav active"">
<table style=""border-collapse: collapse; width: 100%; border-color: #95A5A6; border-style: solid;"" border=""1"">
<tbody>
<tr>
<td class=""specification-title pb-2"" style=""border-color: rgb(149, 165, 166);"">Specification:</td>
</tr>
<tr>
<td class=""proDetailLabel"" style=""border-color: rgb(149, 165, 166);"">Title:</td>
<td class=""proDetailValue"" style=""border-color: rgb(149, 165, 166);"">SMC Fruity Orange Flavor Tasty Saline 1x10gm Pack&nbsp;</td>
</tr>
<tr>
<td class=""proDetailLabel"" style=""border-color: rgb(149, 165, 166);"">Brand:</td>
<td class=""proDetailValue"" style=""border-color: rgb(149, 165, 166);""><a href=""https://www.arogga.com/brand/101202/smc-enterprise-limited"">SMC Fruity</a></td>
</tr>
<tr>
<td class=""proDetailLabel"" style=""border-color: rgb(149, 165, 166);"">Country of Origin</td>
<td class=""proDetailValue"" style=""border-color: rgb(149, 165, 166);"">Bangladesh</td>
</tr>
<tr>
<td class=""proDetailLabel"" style=""border-color: rgb(149, 165, 166);"">Flavor</td>
<td class=""proDetailValue"" style=""border-color: rgb(149, 165, 166);"">Orange</td>
</tr>
<tr>
<td class=""proDetailLabel"" style=""border-color: rgb(149, 165, 166);"">How to Store</td>
<td class=""proDetailValue"" style=""border-color: rgb(149, 165, 166);"">Keep in a Dry Place</td>
</tr>
</tbody>
</table>
</div>
<div class=""product-information-report-form-link border-top pt-1"">
<p class=""mb-0"">&nbsp;</p>
</div>
<h2 data-sourcepos=""18:1-18:53""><strong>How to Use SMC Fruity Orange Flavor Tasty Saline:</strong></h2>
<ol data-sourcepos=""20:1-23:0"">
<li data-sourcepos=""20:1-20:55"">Empty one sachet into 500ml of clean drinking water.</li>
<li data-sourcepos=""21:1-21:47"">Stir well to dissolve the powder completely.</li>
<li data-sourcepos=""22:1-23:0"">Drink the solution throughout the day, especially during hot weather or after exercise.</li>
</ol>
<p>Stay Hydrated and Enjoy the Taste with SMC Fruity Orange Flavor Tasty Saline.</p>",Fight dehydration with a delicious twist! Explore SMC Fruity Orange Tasty Saline (10gm sachets) - a refreshing and convenient way to replenish electrolytes in Bangladesh.,,SMC Enterprise Limited,0,"['Nutritious Diet', 'Ramadan Bazaar', 'Drinks', '""🔥 গরমে আর নয় কষ্ট! সাথে রাখুন পোর্টেবল ফ্যান, থাকুন কুল & ফ্রেশ সবসময়! ❄️🌀']",10gm Pack,4.93,7
Bizoran 5/20,medicine,Beximco Pharmaceuticals Ltd.,0,,Bizoran 5/20 Tablet (বাইজোরান ৫ মি.গ্রা.+২০ মি.গ্রা. ট্যাবলেট ) controls high blood pressure efficiently. Discover its benefits and side effects for better heart health.,,Beximco Pharmaceuticals Ltd.,0,"['b2b', 'chronic disease']",Tablet,0,12
Omidon 10,medicine,Incepta Pharmaceuticals Ltd.,0,,Omidon 10 mg Tablet (অমিডন ১০ মি.গ্রা. ট্যাবলেট) relieves nausea and vomiting by improving stomach and intestinal movement. Use as directed by your healthcare provider for effective relief.,,Incepta Pharmaceuticals Ltd.,0,"['everyday_essentials', 'chronic disease']",Tablet,0,3.5
Atova 10,medicine,Beximco Pharmaceuticals Ltd.,0,,"Find Atova 10 mg Tablet (এ্যাটোভা ১০ মি.গ্রা. ট্যাবলেট) in Bangladesh from Arogga, your trusted online pharmacy. Buy this effective antihypertensive medication at the lowest cost for optimal blood pressure control.",,Beximco Pharmaceuticals Ltd.,0,"['b2b', 'chronic disease']",Tablet,0,12
Freedom Sanitary Napkin Heavy Flow Cotton 8 pads Buy 1 get 1,beauty,Freedom,0,<p>Hundreds of funnel absorb liquid faster and give instant dry feel. Its pleasant fragrance fights to lock odour in 290mm pad. Six wall protection prevents leakage. Converts liquid into gel and locks it inside. This pad is skin friendly and individual pouch make easy to carry and disposal for users.</p>,,,,0,"['ACI', 'bogo', 'eid khushi']",8pcs Pack,4.88,240
Sensation Super Dotted Scented Strawberry Condom 3's Pack,sexual_wellness,SMC Enterprise Limited,0,,,,SMC Enterprise Limited,0,"['Top selling', 'Wedding', 'std labpromo']",3's Pack,4.89,40
AXIS-Y Dark Spot Correcting Glow Serum 5ml,beauty,Axis-Y,0,"<h3><span style=""font-size:12pt;""><strong><span class=""a-list-item"">AXIS-Y Dark Spot Correcting Glow Serum Mini 5ML<br /><br /><br /></span></strong></span></h3>
<p><span style=""font-size:12pt;""><span class=""a-list-item"">Introducing the AXIS-Y Dark Spot Correcting Glow Serum Mini 5ml – a compact, travel-friendly solution designed to brighten your complexion and reduce the appearance of dark spots.</span></span></p>
<p>The AXIS-Y Dark Spot Correcting Glow Serum Mini is a lightweight serum formulated to address dark spots and uneven skin tone. With 5% Niacinamide, it effectively brightens the skin, while plant-derived Squalane ensures deep hydration.</p>
<p> </p>
<p>Natural extracts from Calendula, Papaya, and Sea Buckthorn provide additional nourishment, leaving your skin radiant and healthy. The compact 5ml size makes it an excellent choice for travel or for those new to the product.</p>
<p> </p>
<p> </p>
<h3><strong>Product Highlights:</strong></h3>
<p> </p>
<ul>
<li>Brightening Effect: Formulated with 5% Niacinamide to help fade dark spots and even out skin tone.</li>
<li>Hydrating Formula: Enriched with plant-derived Squalane to retain moisture and keep your skin glowing.</li>
<li>Natural Ingredients: Contains extracts from Calendula, Papaya, and Sea Buckthorn for added nourishment.</li>
<li>Travel-Friendly Size: The 5ml mini size is perfect for on-the-go skincare routines.</li>
<li>Suitable for All Skin Types: Gentle formulation ideal for daily use on all skin types.</li>
</ul>
<p> </p>
<p> </p>
<h3><strong>Key Specifications:</strong></h3>
<table style=""border-collapse:collapse;width:100%;border-width:1px;border-color:#7E8C8D;"" border=""1"">
<thead>
<tr>
<th style=""border-width:1px;border-color:rgb(126,140,141);""> </th>
<th style=""border-width:1px;border-color:rgb(126,140,141);"">Details</th>
</tr>
</thead>
<tbody>
<tr>
<td style=""border-width:1px;border-color:rgb(126,140,141);""><strong>Brand</strong></td>
<td style=""border-width:1px;border-color:rgb(126,140,141);"">AXIS-Y</td>
</tr>
<tr>
<td style=""border-width:1px;border-color:rgb(126,140,141);""><strong>Product Name</strong></td>
<td style=""border-width:1px;border-color:rgb(126,140,141);"">Dark Spot Correcting Glow Serum Mini</td>
</tr>
<tr>
<td style=""border-width:1px;border-color:rgb(126,140,141);""><strong>Size</strong></td>
<td style=""border-width:1px;border-color:rgb(126,140,141);"">5ml</td>
</tr>
<tr>
<td style=""border-width:1px;border-color:rgb(126,140,141);""><strong>Key Ingredients</strong></td>
<td style=""border-width:1px;border-color:rgb(126,140,141);"">5% Niacinamide, Squalane, Rice Bran Extract, Calendula, Papaya, Sea Buckthorn</td>
</tr>
<tr>
<td style=""border-width:1px;border-color:rgb(126,140,141);""><strong>Skin Type</strong></td>
<td style=""border-width:1px;border-color:rgb(126,140,141);"">All skin types</td>
</tr>
<tr>
<td style=""border-width:1px;border-color:rgb(126,140,141);""><strong>Application</strong></td>
<td style=""border-width:1px;border-color:rgb(126,140,141);"">Face</td>
</tr>
<tr>
<td style=""border-width:1px;border-color:rgb(126,140,141);""><strong>Use</strong></td>
<td style=""border-width:1px;border-color:rgb(126,140,141);"">Brightening, dark spot correction, hydration</td>
</tr>
<tr>
<td style=""border-width:1px;border-color:rgb(126,140,141);""><strong>Formulation</strong></td>
<td style=""border-width:1px;border-color:rgb(126,140,141);"">Lightweight, fast-absorbing serum</td>
</tr>
<tr>
<td style=""border-width:1px;border-color:rgb(126,140,141);""><strong>Cruelty-Free</strong></td>
<td style=""border-width:1px;border-color:rgb(126,140,141);"">Yes</td>
</tr>
<tr>
<td style=""border-width:1px;border-color:rgb(126,140,141);""><strong>Vegan</strong></td>
<td style=""border-width:1px;border-color:rgb(126,140,141);"">Yes</td>
</tr>
</tbody>
</table>
<p> </p>
<p> </p>
<h3><strong>How to Use</strong></h3>
<ol>
<li>After cleansing and toning, apply a small amount of the serum to the entire face or focus on areas with dark spots.</li>
<li>Gently pat until fully absorbed.</li>
<li>Follow with your preferred moisturizer.</li>
<li>Use daily, both morning and night, for optimal results.</li>
</ol>
<p> </p>
<p> </p>
<h3><strong>Safety Guide</strong></h3>
<ul>
<li>For external use only.</li>
<li>Avoid direct contact with eyes.</li>
<li>Conduct a patch test before use to check for any adverse reactions.</li>
<li>Discontinue use if irritation occurs and consult a dermatologist.</li>
<li>Keep out of reach of children.</li>
</ul>
<p> </p>
<p> </p>
<h3><strong>About the Brand</strong></h3>
<p><br />AXIS-Y is a skincare brand dedicated to creating products that cater to individual skin concerns. With a focus on natural ingredients and innovative formulations, AXIS-Y aims to provide effective and gentle skincare solutions for all.</p>
<p>Elevate your skincare routine with the AXIS-Y Dark Spot Correcting Glow Serum Mini 5ml and experience a brighter, more even complexion.</p>
<p> </p>
<h2><span class=""a-list-item"" style=""font-size:12pt;"">Country of Origin: Korea</span></h2>
<div class=""celwidget aplus-module 3p-module-b aplus-standard"">
<div class=""aplus-module-wrapper aplus-3p-fixed-width""><span style=""font-size:12pt;""><img class=""a-spacing-base"" src=""https://cdn2.arogga.com/eyJidWNrZXQiOiJhcm9nZ2EiLCJrZXkiOiJtZWRpY2luZURlc2NyaXB0aW9uXC81NVwvNTU2MjMtMDNkdGx5ejYzN3J0MS5qcGVnIiwiZWRpdHMiOltdfQ=="" alt=""AXIS-Y DARK SPOT CORRECTING GLOW SERUM1"" /></span></div>
</div>
<div class=""celwidget aplus-module 3p-module-b aplus-standard"">
<div class=""aplus-module-wrapper aplus-3p-fixed-width""><span style=""font-size:12pt;""><img class=""a-spacing-base"" src=""https://cdn2.arogga.com/eyJidWNrZXQiOiJhcm9nZ2EiLCJrZXkiOiJtZWRpY2luZURlc2NyaXB0aW9uXC81NVwvNTU2MjMtMXRvZG1pazVtdGYyci5qcGVnIiwiZWRpdHMiOltdfQ=="" alt=""DARK SPOT CORRECTING GLOW SERUM2"" /></span></div>
</div>
<div class=""celwidget aplus-module 3p-module-b aplus-standard"">
<div class=""aplus-module-wrapper aplus-3p-fixed-width""><span style=""font-size:12pt;""><img class=""a-spacing-base"" src=""https://cdn2.arogga.com/eyJidWNrZXQiOiJhcm9nZ2EiLCJrZXkiOiJtZWRpY2luZURlc2NyaXB0aW9uXC81NVwvNTU2MjMtMm5iZDM5aW11b2Rldi5qcGVnIiwiZWRpdHMiOltdfQ=="" alt=""DARK SPOT CORRECTING GLOW SERUM3"" /></span></div>
</div>
<div class=""celwidget aplus-module 3p-module-b aplus-standard"">
<div class=""aplus-module-wrapper aplus-3p-fixed-width""><span style=""font-size:12pt;""><img class=""a-spacing-base"" src=""https://cdn2.arogga.com/eyJidWNrZXQiOiJhcm9nZ2EiLCJrZXkiOiJtZWRpY2luZURlc2NyaXB0aW9uXC81NVwvNTU2MjMtM2lrZTNzbjhkYmNtby5qcGVnIiwiZWRpdHMiOltdfQ=="" alt=""AXIS-Y Dark Spot Correcting Glow Serum_7"" /></span></div>
</div>
<div class=""celwidget aplus-module 3p-module-b aplus-standard"">
<div class=""aplus-module-wrapper aplus-3p-fixed-width""><span style=""font-size:12pt;""><img class=""a-spacing-base"" src=""https://cdn2.arogga.com/eyJidWNrZXQiOiJhcm9nZ2EiLCJrZXkiOiJtZWRpY2luZURlc2NyaXB0aW9uXC81NVwvNTU2MjMtNGZnaXV6eGdzeXU0aS5qcGVnIiwiZWRpdHMiOltdfQ=="" alt=""AXIS-Y Dark Spot Correcting Glow Serum_8"" /></span></div>
</div>
<div class=""celwidget aplus-module module-9 aplus-standard"">
<div class=""aplus-module-wrapper apm-fixed-width"">
<div class=""apm-spacing apm-fixed-width"">
<h3 class=""a-spacing-small""><span style=""font-size:12pt;"">Better Together</span></h3>
<table class=""apm-fixed-width apm-eventhirdcol-table"">
<tbody>
<tr>
<th class=""apm-center"">
<div class=""apm-eventhirdcol apm-floatleft"">
<p><span style=""font-size:12pt;""><img class=""a-spacing-mini"" src=""https://cdn2.arogga.com/eyJidWNrZXQiOiJhcm9nZ2EiLCJrZXkiOiJtZWRpY2luZURlc2NyaXB0aW9uXC81NVwvNTU2MjMtNWlxbG53dDFzYnZjbS5wbmciLCJlZGl0cyI6W119"" alt=""AXIS-Y_Spot_300x300"" /></span></p>
</div>
</th>
<th class=""apm-center"">
<div class=""apm-eventhirdcol apm-floatleft"">
<p><span style=""font-size:12pt;""><img class=""a-spacing-mini"" src=""https://cdn2.arogga.com/eyJidWNrZXQiOiJhcm9nZ2EiLCJrZXkiOiJtZWRpY2luZURlc2NyaXB0aW9uXC81NVwvNTU2MjMtNnE2NGlwYnFxNnk5eC5wbmciLCJlZGl0cyI6W119"" alt=""AXIS-Y_Artichoke_300x300"" /></span></p>
</div>
</th>
<th class=""apm-center"">
<div class=""apm-eventhirdcol apm-floatleft"">
<p><span style=""font-size:12pt;""><img class=""a-spacing-mini"" src=""https://cdn2.arogga.com/eyJidWNrZXQiOiJhcm9nZ2EiLCJrZXkiOiJtZWRpY2luZURlc2NyaXB0aW9uXC81NVwvNTU2MjMtN3BxbDgwZDVyc3A0Ni5wbmciLCJlZGl0cyI6W119"" alt=""AXIS-Y_CALAMINE_300x300"" /></span></p>
</div>
</th>
</tr>
<tr>
<td class=""apm-top"">
<div class=""apm-eventhirdcol apm-floatleft"">
<h4 class=""a-spacing-mini""><span style=""font-size:12pt;"">Spot The Difference Blemish Treatment</span></h4>
<p><span style=""font-size:12pt;"">Provides effective relief from breakouts.</span></p>
</div>
</td>
<td class=""apm-top"">
<div class=""apm-eventhirdcol apm-floatleft"">
<h4 class=""a-spacing-mini""><span style=""font-size:12pt;"">Artichoke Intensive Skin Barrier Ampoule</span></h4>
<p><span style=""font-size:12pt;"">Strengthens the skin's natural barrier.</span></p>
</div>
</td>
<td class=""apm-top"">
<div class=""apm-eventhirdcol apm-floatleft"">
<h4 class=""a-spacing-mini""><span style=""font-size:12pt;"">CALAMINE Pore Control Capsule Serum</span></h4>
<p><span style=""font-size:12pt;"">Improves the appearance of enlarged pores.</span></p>
</div>
</td>
</tr>
</tbody>
</table>
</div>
</div>
<div> </div>
</div>
<div class=""celwidget aplus-module 3p-module-b aplus-standard"">
<div class=""aplus-module-wrapper aplus-3p-fixed-width""><span style=""font-size:12pt;""><img class=""a-spacing-base"" src=""https://cdn2.arogga.com/eyJidWNrZXQiOiJhcm9nZ2EiLCJrZXkiOiJtZWRpY2luZURlc2NyaXB0aW9uXC81NVwvNTU2MjMtOGgwc3M5c2pnNXdjZC5qcGVnIiwiZWRpdHMiOltdfQ=="" alt=""DARK SPOT CORRECTING GLOW SERUM4"" /></span></div>
</div>",,,,0,"['Acne', 'Spot', 'Top selling', 'k-beauty', 'trending ', 'authentic-beauty', 'eid khushi']",5ml Tube,4.86,450
Alatrol 10,medicine,Square Pharmaceuticals PLC.,0,,,,Square Pharmaceuticals Ltd.,0,['everyday_essentials'],Tablet,0,3
Bislol 2.5,medicine,Opsonin Pharma Limited,0,,Bislol 2.5 mg Tablet (বিসলল ২.৫ মি.গ্রা. ট্যাবলেট) is used for managing hypertension and heart conditions. Discover its key benefits and potential side effects for safe and effective treatment.,,Opsonin Pharma Limited,0,"['b2b', 'chronic disease']",Tablet,0,7
Seclo 20,medicine,Square Pharmaceuticals PLC.,0,,Seclo 20 mg Capsule (সেকলো ২০ মি.গ্রা. ক্যাপসুল) treats acid reflux and ulcers. Learn about its benefits and side effects for gastrointestinal care.,,Square Pharmaceuticals Ltd.,0,"['everyday_essentials', 'OTC']",Capsule,0,6
Montela 10,medicine,Delta Pharma Limited,0,,,,Delta Pharma Limited,0,"['b2b', 'chronic disease']",Tablet,0,10
Neuro B (30),medicine,Square Pharmaceuticals PLC.,0,,,,Square Pharmaceuticals Ltd.,0,['b2b'],Tablet,0,10
Rosuva 10,medicine,Square Pharmaceuticals PLC.,0,,Rosuva 10 mg Tablet (রসুভা ১০ মি.গ্রা. ট্যাবলেট) helps manage cholesterol levels and prevent cardiovascular disease. Learn about its benefits and potential side effects for heart health.,,Square Pharmaceuticals Ltd.,0,"['b2b', 'chronic disease']",Tablet,0,22
Panther Condom (প্যানথার ডটেড কনডম) 3's Pack,sexual_wellness,SMC Enterprise Limited,0,"<h2 class=""pdp-mod-section-title outer-title"">Product details of Panther Dotted Condoms</h2>
<div class=""pdp-product-detail"">
<div class=""pdp-product-desc"">
<div class=""html-content pdp-product-highlights"">
<ul>
<li>Comfortable</li>
<li>Extra Timing this condom</li>
<li>Extra High-Quality Dotted</li>
<li>Provides a better fit and feel during lovemaking</li>
<li>Made in Bangladesh</li>
<li>Comfortable</li>
<li>Extra lube.</li>
</ul>
</div>
<div class=""html-content detail-content"">Panther is a Dotted Latex condom. For contraception and prevention of STD &amp; HIV/AIDS. A Product by Social Marketing Company (SMC). Made in Bangladesh.
<ul>
<li>Comfortable</li>
<li>Extra Timing this condoms</li>
<li>Extra High Quality Dotted</li>
<li>Provides a better fit and feel during lovemaking</li>
<li>Made in Bangladesh</li>
<li>Comfortable</li>
<li>Extra lube.</li>
</ul>
</div>
</div>
</div>",,,SMC Enterprise Limited,0,['std labpromo'],3's Pack,4.85,25
Skin'O Glow Your Skin Rose Scented Shower Gel 220ml (Buy 1 Get 1 Free),beauty,Skin'O,0,"<p><span style=""font-family: helvetica, arial, sans-serif; font-size: 12pt;"">This foamy cleanser with rose and rose buds helps to remove grime and pollutants while also releasing dead cells. Leaves skin looking bright, smooth, youthful, and luminous. All substances are of natural origin.</span><br><span style=""font-family: helvetica, arial, sans-serif; font-size: 12pt;"">Enjoy the delightful experience of Glow Your Skin Rose Scented Shower Gel, an exquisite blend of natural goodness that transforms your daily shower routine into a rejuvenating ritual.&nbsp;</span></p>",,,,0,"['chardike', 'bogo', 'Wedding', 'trending ', 'eid khushi']",220ml,4.86,500
Calbo D,medicine,Square Pharmaceuticals PLC.,0,,"Calbo-D 500mg+200IU tablet is used for the treatment of osteoporosis, osteomalacia, rickets, tetany, & parathyroid disease. Learn more about its uses and side effects at arogga.",,Square Pharmaceuticals Ltd.,0,"['everyday_essentials', 'b2b']",Tablet,0,8
Rivotril 0.5,medicine,Radiant Pharmaceuticals Ltd.,0,,,,Radiant Pharmaceuticals Ltd.,0,['chronic disease'],Tablet,0,9
Finix 20,medicine,Opsonin Pharma Limited,0,,Finix 20 mg Tablet (ফিনিক্স ২০ মি.গ্রা. ট্যাবলেট) is used to treat acid reflux and heartburn effectively. Understand its benefits and potential side effects for safe and effective gastrointestinal care.,,Opsonin Pharma Limited,0,[],Tablet,0,7.02
Comet 500,medicine,Square Pharmaceuticals PLC.,0,,,,Square Pharmaceuticals Ltd.,0,"['b2b', 'chronic disease']",Tablet,0,5
Vigorex 50,medicine,Square Pharmaceuticals PLC.,0,,"Vigorex 50mg Tablet ভিগোরেক্স ৫০ মি.গ্রা. ট্যাবলেট is a popular erectile dysfunction treatment option in Bangladesh. Find its price, uses, side effects, dosage, and how to order online.",,Square Pharmaceuticals Ltd.,0,[],Tablet,0,30
Folison,medicine,Jayson Pharmaceuticals Ltd.,0,,"Find Folison 5 mg Tablet (ফলিসন ৫ মি.গ্রা. ট্যাবলেট) in Bangladesh from Arogga, your trusted online pharmacy. Buy this essential folic acid supplement for optimal health and well-being at the lowest cost.",,Jayson Pharmaceuticals Ltd.,0,[],Tablet,0,0.35
Maxpro 20,medicine,Renata Limited,0,,Maxpro 20 mg tablets (ম্যাক্সপ্রো ২০ মি.গ্রা. ট্যাবলেট) used for treating acid reflux and heartburn. Understand its uses and potential side effects for effective and safe management,,Renata Limited,0,['b2b'],Tablet,0,7
Losectil 20,medicine,Eskayef Pharmaceuticals Ltd.,0,,,,Eskayef Pharmaceuticals Ltd.,0,['OTC'],Capsule,0,5
Coralcal-DX,medicine,Radiant Pharmaceuticals Ltd.,0,,"CoralCal DX Tablet (কোরালক্যাল-ডিএক্স ট্যাবলেট) boosts bone health with calcium, vitamin D, and minerals. Learn its benefits and side effects for effective care.",,Radiant Pharmaceuticals Ltd.,0,['b2b'],Tablet,0,17
Hemofix FZ,medicine,Beximco Pharmaceuticals Ltd.,0,,,,Beximco Pharmaceuticals Ltd.,0,[],Tablet,0,5
Napa,medicine,Beximco Pharmaceuticals Ltd.,0,,"Arogga offers genuine Napa Syrup - নাপা সিরাপ - (paracetamol) for children's fever and pain relief at the best price in Bangladesh. Get safe dosage recommendations, free pharmacist consultation, and fast delivery.",,Beximco Pharmaceuticals Ltd.,0,"['OTC', 'b2b']",60ml bot,0,35
Provair 10,medicine,Unimed Unihealth Pharmaceuticals Ltd.,0,,"Provair 10 mg Tablet (প্রোভেয়ার ১০ মি.গ্রা. ট্যাবলেট) is used to prevent and manage asthma and allergy symptoms like wheezing, sneezing, and runny nose.",,Unimed Unihealth Pharmaceuticals Ltd.,0,"['provair 10', 'b2b', 'chronic disease']",Tablet,0,17.5
Vicks Cough Drops Chocolate,food,Vicks,0,"<h2>Product details of Vicks Cough Drops Chocolate</h2>
<p>When your throat starts to feel ticklish, don&rsquo;t let it escalate into a sore throat. Turn to the reliable relief of Vicks Cough Drops. Since childhood, many have trusted Vicks for its effectiveness and pleasant taste, helping you move past minor throat irritations quickly.</p>
<p><span style=""text-decoration: underline;""><strong>Vicks Cough Drops</strong></span> work as both a cough suppressant and an oral anesthetic. This dual action stops dry coughs before they start, letting you carry on with your day confidently. For over 50 years, Vicks has been the top choice for those seeking to relieve minor throat discomfort. Now available in three flavors: Menthol, Ginger, and Honey, Vicks continues to offer soothing relief with a taste you&rsquo;ll enjoy.</p>
<p>&nbsp;</p>
<ul>
<li>Great taste:3flavors</li>
<li>Can be served to friends and home guests</li>
<li>Good Toffeefor any occasion</li>
<li>Brand: Vicks</li>
<li>Made in India</li>
<li>Per pcs:1.8gm</li>
</ul>
<p>&nbsp;</p>
<p><strong>Benefits:</strong></p>
<ul>
<li><strong>Quick Relief:</strong> Alleviates throat irritation and dry cough instantly.</li>
<li><strong>Long-standing Trust:</strong> Over five decades of being a go-to remedy.</li>
<li><strong>Flavor Variety:</strong> Choose from Menthol, Ginger, or Honey to suit your taste.</li>
</ul>
<p>&nbsp;</p>
<p><strong>CAUTION: </strong></p>
<p>Not to be given to children below 2 years of age.</p>
<p>&nbsp;</p>",,,,0,[],1.8gm Chocolate,4.72,6
Entacyd Plus,medicine,Square Pharmaceuticals PLC.,0,,,,Square Pharmaceuticals Ltd.,0,['everyday_essentials'],Tablet,0,2.5
Clopid 75,medicine,Drug International Ltd.,0,,,,Drug International Ltd.,0,['chronic disease'],Tablet,0,12.05
Sergel 40,medicine,Healthcare Pharmaceuticals Ltd.,0,,"Discover Sergel 40 mg Capsule (সারজেল ৪০ মি.গ্রা. ক্যাপসুল) for effective gastric relief. Learn about usage, benefits, and get the best price and fastest delivery at Arogga!",,Healthcare Pharmaceuticals Ltd.,0,['b2b'],Capsule,0,11
